,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
298,kanniyakumari,IN,8.0833,77.5667,76.57,79,98,13.27,overcast clouds
299,galesong,ID,-5.3166,119.3661,75.22,83,100,5.12,light rain
300,ostrovnoy,RU,68.0531,39.5131,27.48,65,100,20.83,light snow
301,mogadishu,SO,2.0371,45.3438,77.97,81,22,21.79,few clouds
302,osa,RU,57.2829,55.4567,9.07,92,100,10.63,light snow
303,andenes,NO,69.3143,16.1194,19.38,93,40,5.75,scattered clouds
304,sao filipe,CV,14.8961,-24.4956,73.2,63,100,0.45,overcast clouds
305,esna,EG,25.2934,32.554,55.42,31,100,11.21,overcast clouds
306,porto novo,BJ,6.4965,2.6036,84.02,74,69,6.71,broken clouds
307,opuwo,NA,-18.0607,13.84,66.27,36,94,4.52,overcast clouds
308,vila franca do campo,PT,37.7167,-25.4333,61.2,82,84,9.04,broken clouds
309,gulbarga,IN,17.3333,76.8333,69.42,73,77,6.46,broken clouds
310,nemuro,JP,43.3236,145.575,22.14,72,19,9.73,few clouds
311,paraiso,CR,9.8383,-83.8656,76.06,81,35,4.74,scattered clouds
312,newcastle,AU,-32.9272,151.7765,78.98,84,40,1.99,scattered clouds
313,lorengau,PG,-2.0226,147.2712,81.7,77,90,7.67,overcast clouds
314,malaya serdoba,RU,52.4661,44.9512,17.11,88,100,15.95,overcast clouds
315,salekhard,RU,66.53,66.6019,-4.29,91,73,8.81,broken clouds
316,westerland,DE,54.9079,8.3033,35.62,100,75,6.91,broken clouds
317,ridgecrest,US,35.6225,-117.6709,62.15,22,0,1.01,clear sky
318,ust-nera,RU,64.5667,143.2,-23.94,98,71,3.58,broken clouds
319,yarada,IN,17.65,83.2667,68.32,100,20,2.3,mist
320,nuqui,CO,5.7125,-77.2708,80.22,79,64,6.89,light rain
321,gilgit,PK,35.9221,74.3087,37.53,72,100,1.36,overcast clouds
322,kanepi,EE,57.982,26.7627,28.04,98,98,2.57,overcast clouds
323,birao,CF,10.2849,22.7882,78.64,25,28,3.62,scattered clouds
324,akyab,MM,20.15,92.9,65.03,78,0,7.09,clear sky
325,ilulissat,GL,69.2167,-51.1,7.27,95,100,7.02,overcast clouds
326,leningradskiy,RU,69.3833,178.4167,-16.06,92,41,6.44,scattered clouds
327,atambua,ID,-9.1061,124.8925,74.75,85,72,1.48,broken clouds
328,ancud,CL,-41.8697,-73.8203,71.13,83,66,9.53,broken clouds
329,maldonado,UY,-34.6667,-54.9167,84.22,39,0,17.27,clear sky
330,caucaia,BR,-3.7361,-38.6531,84.07,74,20,6.91,few clouds
331,yar-sale,RU,66.8333,70.8333,-6.0,93,100,6.42,overcast clouds
332,krasnogorsk,RU,55.8225,37.3181,21.06,86,100,8.95,snow
333,hattiesburg,US,31.3271,-89.2903,77.32,86,40,5.75,scattered clouds
334,tandil,AR,-37.3217,-59.1332,91.31,22,63,5.01,broken clouds
335,westport,US,41.1415,-73.3579,41.81,76,100,5.01,light rain
336,hovd,MN,48.0056,91.6419,1.13,78,68,3.85,broken clouds
337,burnie,AU,-41.0667,145.9167,64.94,97,91,5.79,overcast clouds
338,uvira,CD,-3.4067,29.1458,73.63,79,61,3.04,broken clouds
339,saskylakh,RU,71.9167,114.0833,6.76,92,100,12.01,overcast clouds
340,iquique,CL,-20.2208,-70.1431,75.24,73,34,5.19,scattered clouds
341,fehervarcsurgo,HU,47.2935,18.2646,31.78,88,100,0.65,overcast clouds
342,gayeri,BF,12.6497,0.4931,71.96,11,9,8.72,clear sky
343,envira,BR,-7.3,-70.2167,79.84,80,87,3.96,overcast clouds
344,herat,AF,34.5,62.0,35.92,53,0,3.65,clear sky
345,yunyang,CN,33.4474,112.7142,40.96,83,100,2.42,moderate rain
346,talnakh,RU,69.4865,88.3972,-2.79,97,100,4.94,light snow
347,trairi,BR,-3.2778,-39.2689,80.06,74,100,10.42,overcast clouds
348,nouadhibou,MR,20.931,-17.0347,69.78,46,100,12.66,dust
349,dabhol,IN,17.6,73.1667,65.53,78,7,7.52,clear sky
350,lensk,RU,60.7253,114.9278,-26.41,96,10,3.11,clear sky
351,port augusta,AU,-32.5,137.7667,86.7,24,27,13.06,scattered clouds
352,gravdal,NO,68.1214,13.5031,21.09,100,20,3.44,few clouds
353,nishihara,JP,26.1842,127.7558,63.68,83,75,3.44,broken clouds
354,pinos,MX,22.3,-101.5667,67.03,11,1,5.82,clear sky
355,bucerias,MX,20.75,-105.3333,81.88,47,79,6.02,broken clouds
356,hambantota,LK,6.1241,81.1185,74.79,90,100,10.38,overcast clouds
357,trelew,AR,-43.249,-65.3051,71.92,43,55,15.35,broken clouds
