City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
159,dingle,PH,72.95,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
160,meulaboh,ID,74.41,overcast clouds,4.1363,96.1285,Kost Pria
161,lufilufi,WS,87.58,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
162,nanakuli,US,79.03,clear sky,21.3906,-158.1547,Camp Pālehua
164,neiafu,TO,83.08,broken clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
165,andrews,US,48.65,clear sky,32.3187,-102.5457,Days Inn by Wyndham Andrews Texas
166,castro,BR,61.97,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
168,victoria,HK,63.32,scattered clouds,22.2855,114.1577,Mini Hotel Central
170,poum,NC,82.44,clear sky,-20.2333,164.0167,Gîte kajeon
173,mendi,PG,58.78,overcast clouds,-6.1761,143.6513,Kiburu Lodge
174,namatanai,PG,81.66,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
175,hervey bay,AU,80.02,broken clouds,-25.2986,152.8535,Shelly Bay Resort
176,calamar,CO,87.75,overcast clouds,10.2511,-74.9146,Hostal Katyalex
179,tiangua,BR,73.78,overcast clouds,-3.7322,-40.9917,Hotel São Francisco
180,trincomalee,LK,79.45,overcast clouds,8.5711,81.2335,Welcombe Hotel
182,lagoa,PT,59.74,overcast clouds,39.05,-27.9833,Casa Das Faias
185,puerto ayora,EC,80.56,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
186,registro,BR,67.84,overcast clouds,-24.4875,-47.8436,Régis Hotel
188,camacha,PT,62.02,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
189,billericay,GB,40.46,scattered clouds,51.6287,0.4196,The Railway
190,naze,JP,58.12,overcast clouds,28.3667,129.4833,Shishime Hotel
191,saint george,US,59.47,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
192,vanimo,PG,77.56,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
195,yaring,TH,76.01,few clouds,6.8662,101.3689,สถานที่จัดงานแต่ง SOFEE & DORN
196,kaeo,NZ,75.33,overcast clouds,-35.1,173.7833,Bushido Lodge
197,jackson,US,57.0,clear sky,42.4165,-122.8345,Agate Village Apartments
198,rosh pinna,IL,49.35,broken clouds,32.9689,35.5426,Spa Hotel Mizpe Hayamim
199,alofi,NU,84.09,overcast clouds,-19.0595,-169.9187,Taloa Heights
201,carnarvon,AU,69.87,clear sky,-24.8667,113.6333,Hospitality Carnarvon
205,dolores,AR,77.72,broken clouds,-36.3132,-57.6792,Apart Hotel - Arianos
206,caravelas,BR,75.79,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
207,xichang,CN,42.22,clear sky,27.8964,102.2634,Xichang ibis Hotel
208,ulladulla,AU,75.78,broken clouds,-35.35,150.4667,Sandpiper Motel
210,faya,SA,57.31,clear sky,18.3851,42.4509,املاك خالد الشعشوع
211,porto belo,BR,71.8,moderate rain,-27.1578,-48.5531,Costa Verde Beach Hotel
213,sarangani,PH,81.34,overcast clouds,5.4033,125.4636,Ballistic Islet
215,sakakah,SA,63.97,overcast clouds,29.9697,40.2064,Fakhamat Al Orjoana Apartment
216,arraial do cabo,BR,71.56,light intensity drizzle,-22.9661,-42.0278,Pousada Porto Praia
217,pisco,PE,78.85,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
218,lompoc,US,72.01,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
220,kununurra,AU,82.38,scattered clouds,-15.7667,128.7333,Hotel Kununurra
221,kruisfontein,ZA,65.88,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
222,tevaitoa,PF,81.19,broken clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
223,sao joao da barra,BR,71.69,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
226,geraldton,AU,57.61,clear sky,-28.7667,114.6,Broadwater Mariner Resort
228,fare,PF,81.03,broken clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
231,daphne,US,75.09,overcast clouds,30.6035,-87.9036,Amricans Best Inn
235,omboue,GA,77.67,light rain,-1.5746,9.2618,Hotel Olako
238,sal rei,CV,72.16,overcast clouds,16.1833,-22.9167,Marine Club Beach Resort
240,ponta do sol,PT,66.13,overcast clouds,32.6667,-17.1,Hotel do Campo
241,half moon bay,US,67.21,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
244,san pedro de lloc,PE,75.2,broken clouds,-7.4328,-79.5058,La Posada Del Valle
245,tuatapere,NZ,62.82,overcast clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
246,gat,IL,57.4,scattered clouds,31.61,34.7642,OlusHome
248,bambari,CF,88.23,overcast clouds,5.768,20.6757,Hotel-Restaurant BIBICH
249,port macquarie,AU,77.9,scattered clouds,-31.4333,152.9167,Rydges Port Macquarie
250,aguas belas,BR,82.65,overcast clouds,-9.1114,-37.1231,Hotel Sertão
251,codrington,AU,67.32,broken clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
252,awbari,LY,45.55,clear sky,26.5921,12.7805,فندق أوباري
253,umarkot,PK,59.2,clear sky,25.3616,69.7362,Al-Qamar Boys Hostel
254,nola,IT,48.54,overcast clouds,40.922,14.5329,Villa Minieri Eventi
257,khani,GE,45.97,broken clouds,41.9563,42.9566,კურორტი ზეკარი/Resort Zekari
258,mayo,US,43.25,moderate rain,38.8876,-76.5119,Resorts Resource Group International
259,te anau,NZ,65.61,broken clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
261,warrington,GB,45.63,scattered clouds,53.3925,-2.5802,Patten Arms Hotel
263,sinnamary,GF,76.32,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
265,asmar,AF,42.66,overcast clouds,35.0333,71.3581,COP Monti
266,lingion,PH,67.62,overcast clouds,8.1881,124.6097,FEEL at HOME YARD
267,rio claro,BR,67.82,overcast clouds,-22.4114,-47.5614,Hotel Vivendas Rio Claro by Atlantica
270,fuerte olimpo,PY,91.65,scattered clouds,-21.0415,-57.8738,Hospedaje DAMI
272,belawan,ID,77.29,broken clouds,3.7755,98.6832,Rumah Mamak Bapak M.Radial
274,buala,SB,82.4,light rain,-8.145,159.5921,Maringe Lagoon Lodge
275,minab,IR,51.3,clear sky,27.1467,57.0801,Bam campground
277,abnub,EG,52.02,broken clouds,27.2696,31.1511,Romany Adly Gad
278,chenghai,CN,58.91,broken clouds,23.4632,116.768,Guangdong Hotel
279,cabo san lucas,MX,82.62,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
282,maralal,KE,58.15,clear sky,1.0968,36.698,Ngari Hill Ecolodge
288,san-pedro,CI,80.31,overcast clouds,4.7485,-6.6363,Hotel Maria
289,madang,PG,77.09,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
291,oyama,JP,46.58,overcast clouds,36.3,139.8,Toyoko Inn Oyama-eki Higashi-guchi No.1
292,huancavelica,PE,43.79,overcast clouds,-12.7667,-74.9833,Hotel Victoria Huancavelica
293,tautira,PF,84.22,light rain,-17.7333,-149.15,Pension Oaoa
296,miracema do tocantins,BR,73.2,overcast clouds,-9.5618,-48.3967,Miami Apart Hotel
298,kanniyakumari,IN,76.57,overcast clouds,8.0833,77.5667,Sparsa
299,galesong,ID,75.22,light rain,-5.3166,119.3661,Sapriadi Appy
301,mogadishu,SO,77.97,few clouds,2.0371,45.3438,Hotel Juba
304,sao filipe,CV,73.2,overcast clouds,14.8961,-24.4956,Hotel Xaguate
305,esna,EG,55.42,overcast clouds,25.2934,32.554,Orient Star Dahabyia Isna 05 Nights Each Sunday
306,porto novo,BJ,84.02,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
308,vila franca do campo,PT,61.2,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
309,gulbarga,IN,69.42,broken clouds,17.3333,76.8333,Kamat Hotel
311,paraiso,CR,76.06,scattered clouds,9.8383,-83.8656,Hotel Rinconcito Verde
312,newcastle,AU,78.98,scattered clouds,-32.9272,151.7765,NOAH'S on the beach
313,lorengau,PG,81.7,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
317,ridgecrest,US,62.15,clear sky,35.6225,-117.6709,SpringHill Suites by Marriott Ridgecrest
319,yarada,IN,68.32,mist,17.65,83.2667,Yarada Jungle Beach Resorts
320,nuqui,CO,80.22,light rain,5.7125,-77.2708,Hotel Nuquimar
324,akyab,MM,65.03,clear sky,20.15,92.9,Hotel Memory
327,atambua,ID,74.75,broken clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
328,ancud,CL,71.13,broken clouds,-41.8697,-73.8203,Hotel Arena Gruesa
329,maldonado,UY,84.22,clear sky,-34.6667,-54.9167,La Cimarrona
330,caucaia,BR,84.07,few clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
333,hattiesburg,US,77.32,scattered clouds,31.3271,-89.2903,Deluxe Inn
334,tandil,AR,91.31,broken clouds,-37.3217,-59.1332,HOSTAL DE LA SIERRA TANDIL
335,westport,US,41.81,light rain,41.1415,-73.3579,The Westport Inn
337,burnie,AU,64.94,overcast clouds,-41.0667,145.9167,Beachfront Voyager Motor Inn
338,uvira,CD,73.63,broken clouds,-3.4067,29.1458,Hotel Suzana
340,iquique,CL,75.24,scattered clouds,-20.2208,-70.1431,Backpacker`s Hostel Iquique
345,yunyang,CN,40.96,moderate rain,33.4474,112.7142,Post & Telecom Hotel
347,trairi,BR,80.06,overcast clouds,-3.2778,-39.2689,janelas do mar
348,nouadhibou,MR,69.78,dust,20.931,-17.0347,El Medina
349,dabhol,IN,65.53,clear sky,17.6,73.1667,Ashwamedh Resort
351,port augusta,AU,86.7,scattered clouds,-32.5,137.7667,Majestic Oasis Apartments
353,nishihara,JP,63.68,broken clouds,26.1842,127.7558,Minshuku Agaihama
354,pinos,MX,67.03,clear sky,22.3,-101.5667,Hotel El Meson Del Conde
355,bucerias,MX,81.88,broken clouds,20.75,-105.3333,Royal Decameron Complex - Puerto Vallarta
356,hambantota,LK,74.79,overcast clouds,6.1241,81.1185,Bungalow 63
357,trelew,AR,71.92,broken clouds,-43.249,-65.3051,Hotel Touring Club
363,saint-orens-de-gameville,FR,47.91,light rain,43.554,1.5341,Appart'City Confort Toulouse Diagora Labège - Appart Hôtel
364,nador,MA,66.27,clear sky,35.174,-2.9287,Hôtel La Giralda
366,portland,US,54.21,clear sky,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
367,muros,ES,57.99,overcast clouds,42.7762,-9.0603,Apartment Av. Castelao
368,touros,BR,83.3,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
369,vilhena,BR,80.82,scattered clouds,-12.7406,-60.1458,Hotel Mirage
370,barroso,BR,66.38,moderate rain,-21.1869,-43.9758,R2 Suítes
374,lata,PT,56.71,overcast clouds,40.1629,-8.3327,Casa Maquia
375,turayf,SA,57.45,broken clouds,31.6725,38.6637,Turaif
376,aquiraz,BR,84.22,overcast clouds,-3.9014,-38.3911,Pousada Rua Camurupim
382,kavaratti,IN,79.63,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
383,faanui,PF,81.09,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
385,namibe,AO,66.18,few clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
390,grand-santi,GF,72.52,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
391,aswan,EG,61.9,clear sky,24.0934,32.907,Nuba Nile
394,morant bay,JM,83.82,overcast clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
395,olafsvik,IS,40.14,heavy intensity rain,64.8945,-23.7142,Hotel Olafsvik
397,redlands,US,74.41,clear sky,34.0556,-117.1825,Dynasty Suites Redlands
399,port lincoln,AU,74.88,broken clouds,-34.7333,135.8667,Port Lincoln Hotel
401,bongaree,AU,82.22,overcast clouds,-27.0797,153.1586,The Gums Anchorage
402,kaitangata,NZ,61.5,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
403,monrovia,LR,80.37,scattered clouds,6.3005,-10.7969,Sunset Inn
404,margate,GB,40.95,few clouds,51.3813,1.3862,Premier Inn Margate hotel
405,yulara,AU,82.24,few clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
406,chadiza,ZM,63.32,overcast clouds,-14.0678,32.4392,Sankhani Guest House
410,puerto madero,MX,82.54,clear sky,14.7208,-92.4215,Hospedaje madero
411,constitucion,CL,66.24,few clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
412,broken hill,AU,76.71,clear sky,-31.95,141.4333,Royal Exchange Hotel
413,tecoanapa,MX,83.91,overcast clouds,16.5167,-98.75,Hotel Manglares
414,bairiki,KI,82.4,broken clouds,1.3292,172.9752,Tarawa Boutique Hotel
415,quelimane,MZ,76.95,scattered clouds,-17.8786,36.8883,Hotel Flamingo
417,pleasanton,US,65.98,broken clouds,37.6624,-121.8747,Four Points by Sheraton Pleasanton
418,maragogi,BR,79.59,clear sky,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
419,mount gambier,AU,58.91,broken clouds,-37.8333,140.7667,The Commodore
421,makakilo city,US,77.68,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
422,volterra,IT,40.3,broken clouds,43.4003,10.86,Hotel San Lino
424,arawa,PG,82.78,scattered clouds,-6.2132,155.5367,Coastline Guest House
428,kulhudhuffushi,MV,80.29,overcast clouds,6.6221,73.07,Haajy Guest House 1
